Time,Participation,Plaza,NSE,Ages,Group,Role,Anonymized_Name,Cleaned_Participation,Cleaned_for_Beto,Thematic_Categories,BETO_Numeric_Sentiment_Processed
12:14:17 a. m.,"Sí hola, buenas noches, Soy Alfonso Morales tengo 40 años soy casado, tengo Soy ingeniero en sistemas. Y este deja de Trece años y me gusta también igual los deportes Ver televisión Ver películas y este está en las redes sociales.",CDMX,C+,35 - 55 años,0,Participant,601eede589,hola buenas noches alfonso morales 40 casado ingeniero sistemas deja trece igual deportes televisión películas redes sociales,"sí hola, buenas noches, soy alfonso morales tengo 40 años soy casado, tengo soy ingeniero en sistemas. y este deja de trece años y me gusta también igual los deportes ver televisión ver películas y este está en las redes sociales.",General opinions about the country,0
12:14:55 a. m.,"Sí, Okay qué tal Buenas noches a todos Soy Pilar rojo, tengo dos hijos. Soy casada. Cada uno tiene Bueno uno tiene 18 la niña y el varón tiene 20. Me dedico a bienes raíces Yo estudié administración Y actualmente llevo varios años este dedicándome a bienes raíces apasionada de la música de los 80s y de los animes en general admiro mucho la naturaleza.",CDMX,C+,35 - 55 años,0,Participant,240cca8d75,tal buenas noches pilar rojo dos hijos casada cada 18 niña varón 20 dedico bienes raíces estudié administración actualmente llevo varios dedicándome bienes raíces apasionada música 80s animes general admiro naturaleza,"sí, okay qué tal buenas noches a todos soy pilar rojo, tengo dos hijos. soy casada. cada uno tiene bueno uno tiene 18 la niña y el varón tiene 20. me dedico a bienes raíces yo estudié administración y actualmente llevo varios años este dedicándome a bienes raíces apasionada de la música de los 80s y de los animes en general admiro mucho la naturaleza.",General opinions about the country,0.762163043
12:15:27 a. m.,Gracias.,CDMX,C+,35 - 55 años,0,Participant,240cca8d75,gracias,gracias.,General opinions about the country,0.998385549
12:15:30 a. m.,"Hola buenas noches Gustavo snyder Tengo 51 años soy de aquí de la Ciudad de México Este tengo una hija y bueno, pues aquí estamos a sus órdenes.",CDMX,C+,35 - 55 años,0,Participant,1ccd0ca00f,hola buenas noches gustavo snyder 51 ciudad méxico hija órdenes,"hola buenas noches gustavo snyder tengo 51 años soy de aquí de la ciudad de méxico este tengo una hija y bueno, pues aquí estamos a sus órdenes.",General opinions about the country,0.998664379
12:15:45 a. m.,y creo que Diana,CDMX,C+,35 - 55 años,0,Participant,8414fcc0b9,diana,y creo que diana,General opinions about the country,0
12:15:59 a. m.,"Sí, Bueno ahorita veo que dice este Mi nombre es diana, Orozco yo tengo 46 años Tengo dos hijos uno de 23 y otro de 20 soy abogada de profesión. tengo sí, me escuchas Tengo este estoy es",CDMX,C+,35 - 55 años,0,Participant,8414fcc0b9,nombre diana orozco 46 dos hijos 23 20 abogada profesión escuchas,"sí, bueno ahorita veo que dice este mi nombre es diana, orozco yo tengo 46 años tengo dos hijos uno de 23 y otro de 20 soy abogada de profesión. tengo sí, me escuchas tengo este estoy es",General opinions about the country,0
12:16:22 a. m.,"una maestría en Amparo si estoy estudiando un doctorado en derecho constitucional. Y pues este me gusta mucho las leyes Este soy especialista en amparos, Obviamente que aplico todo lo que son los Derechos Humanos y tengo que estar al día con los temas que se",CDMX,C+,35 - 55 años,0,Participant,8414fcc0b9,maestría amparo estudiando doctorado derecho constitucional leyes especialista amparos obviamente aplico derechos humanos día temas,"una maestría en amparo si estoy estudiando un doctorado en derecho constitucional. y pues este me gusta mucho las leyes este soy especialista en amparos, obviamente que aplico todo lo que son los derechos humanos y tengo que estar al día con los temas que se",General opinions about the country,0
12:16:40 a. m.,"publican en la suprema corte y todo lo que tenga que ver con las reformas constitucionales. Que es mi día a día porque soy especialista en paros y trabajo para una empresa del gobierno, entonces tengo que estar al de Villa con los",CDMX,C+,35 - 55 años,0,Participant,8414fcc0b9,publican suprema corte reformas constitucionales día día especialista paros trabajo empresa gobierno villa,"publican en la suprema corte y todo lo que tenga que ver con las reformas constitucionales. que es mi día a día porque soy especialista en paros y trabajo para una empresa del gobierno, entonces tengo que estar al de villa con los",General opinions about the country,0
12:16:57 a. m.,temas.,CDMX,C+,35 - 55 años,0,Participant,8414fcc0b9,temas,temas.,General opinions about the country,0
12:17:02 a. m.,Gracias.,CDMX,C+,35 - 55 años,0,Participant,8414fcc0b9,gracias,gracias.,General opinions about the country,0.998385549
12:19:40 a. m.,Híjole,CDMX,C+,35 - 55 años,0,Participant,a4b4b44906,híjole,híjole,General opinions about the country,0
12:19:40 a. m.,"Yo lo veo con muchos cambios. Bueno, perdón, puedo hablar?",CDMX,C+,35 - 55 años,0,Participant,240cca8d75,cambios perdón puedo hablar,"yo lo veo con muchos cambios. bueno, perdón, puedo hablar?",General opinions about the country,0
12:19:49 a. m.,Y perdón.,CDMX,C+,35 - 55 años,0,Participant,240cca8d75,perdón,y perdón.,General opinions about the country,0
12:19:56 a. m.,"Gracias Bueno yo ese como no no hablaba a nadie Perdón pues yo lo veo con muchos cambios, lo veo con una constitución constantemente cambiándose las leyes todos los días con las ideas con los este propuestas, entonces Este es un México muy cambiante a veces con sorpresas para mucho verdad, Bueno los que vivimos en México y con mucha violencia un poco extremoso, en ese aspecto siento que ya nos Bueno ya si nos adentramos a temas Pero bueno en general con muchos cambios",CDMX,C+,35 - 55 años,0,Participant,240cca8d75,gracias hablaba nadie perdón cambios constitución constantemente cambiándose leyes días ideas propuestas méxico cambiante veces sorpresas vivimos méxico violencia extremoso aspecto adentramos temas general cambios,"gracias bueno yo ese como no no hablaba a nadie perdón pues yo lo veo con muchos cambios, lo veo con una constitución constantemente cambiándose las leyes todos los días con las ideas con los este propuestas, entonces este es un méxico muy cambiante a veces con sorpresas para mucho verdad, bueno los que vivimos en méxico y con mucha violencia un poco extremoso, en ese aspecto siento que ya nos bueno ya si nos adentramos a temas pero bueno en general con muchos cambios","General opinions about the country, Security problems",0.987168908
12:20:39 a. m.,cambios ya después hablaré en particular.,CDMX,C+,35 - 55 años,0,Participant,240cca8d75,cambios después hablaré particular,cambios ya después hablaré en particular.,General opinions about the country,0
12:20:46 a. m.,"Bueno yo principalmente veo un un país tristemente dividido de un país muy muy pobre muy j***** lleno de de imposiciones lleno de de cosas negativas Empezando por la violencia no es posible que veas las noticias y cada día maten arriba de cien personas en en provincia y aquí en el Distrito Federal ejecuten cuatro cinco seis siete personas, haya tienen narco tienditas en cada esquina este todo lo lo que supúestamente se está haciendo los cambios en en alcaldías Y eso es la misma cosa nada más que se va va girando No a mí a mí me preocupa mucho más que todo por Por mi familia no, uno como sea, ya estás este, pues ya estás establecido, ya hiciste tus cosas, o sea, ya viviste afortunadamente en una época preciosa sin celulares este con muchísimas cosas igual gobernada por por la misma gente, pero Aquí el problema es que se están reciclando y y lo están haciendo No hay partidos, no, el decir que hay partidos es mentira, es un mismo partido que agarró a toda la gente y y están formando otro de otro color, no?",CDMX,C+,35 - 55 años,0,Participant,ca8b05a9b3,principalmente país tristemente dividido país pobre j lleno imposiciones lleno negativas empezando violencia posible veas noticias cada día maten arriba cien personas provincia distrito federal ejecuten cuatro cinco seis siete personas narco tienditas cada esquina supúestamente haciendo cambios alcaldías misma girando preocupa familia establecido hiciste viviste afortunadamente época preciosa celulares muchísimas igual gobernada misma gente problema reciclando haciendo partidos partidos mentira mismo agarró toda gente formando color,"bueno yo principalmente veo un un país tristemente dividido de un país muy muy pobre muy j lleno de de imposiciones lleno de de cosas negativas empezando por la violencia no es posible que veas las noticias y cada día maten arriba de cien personas en en provincia y aquí en el distrito federal ejecuten cuatro cinco seis siete personas, haya tienen narco tienditas en cada esquina este todo lo lo que supúestamente se está haciendo los cambios en en alcaldías y eso es la misma cosa nada más que se va va girando no a mí a mí me preocupa mucho más que todo por por mi familia no, uno como sea, ya estás este, pues ya estás establecido, ya hiciste tus cosas, o sea, ya viviste afortunadamente en una época preciosa sin celulares este con muchísimas cosas igual gobernada por por la misma gente, pero aquí el problema es que se están reciclando y y lo están haciendo no hay partidos, no, el decir que hay partidos es mentira, es un mismo partido que agarró a toda la gente y y están formando otro de otro color, no?","General opinions about the country, Security problems",-0.998109221
12:22:15 a. m.,jodidísimo,CDMX,C+,35 - 55 años,0,Participant,ca8b05a9b3,jodidísimo,jodidísimo,General opinions about the country,-0.998373389
12:22:17 a. m.,"Pero terriblemente, o sea, triste y y aquí hay muchos abogados y yo no sé cómo les estoy yendo.",CDMX,C+,35 - 55 años,0,Participant,ca8b05a9b3,terriblemente triste abogados yendo,"pero terriblemente, o sea, triste y y aquí hay muchos abogados y yo no sé cómo les estoy yendo.",General opinions about the country,-0.99925524
12:22:37 a. m.,Okay okay.,CDMX,C+,35 - 55 años,0,Participant,ca8b05a9b3,,okay okay.,General opinions about the country,0
12:22:40 a. m.,"yo lo veo con una proceso de adaptación que que no ha terminado de ni de convencer ni de cuajar fueron muchos cambios al inicio de este gobierno muchos cambios este que fueron dándose así de sopetón que algunos tal vez sin pensar o por complacencia, yo lo veo como no termina de adaptarse, sí me saca de onda mucho la violencia, no no, porque haya esté lejos o Porque estemos lejos de los puntos o los focos rojos no significa que tampoco aquí no llegue, no aquí en la en la capital ocupa Pues por mi hija por por la la calidad de vida, que podamos tener Pero si yo lo veo, yo lo veo así como que adaptándose no sé si termine de adaptarse en este a corto plazo, pero sí lo veo muy muy Al tema de la de la violencia y no veo, no veo que haga algo al respecto nadie.",CDMX,C+,35 - 55 años,0,Participant,d1a16b821b,proceso adaptación terminado convencer cuajar cambios inicio gobierno cambios dándose sopetón tal vez pensar complacencia termina adaptarse saca onda violencia lejos lejos puntos focos rojos significa tampoco llegue capital ocupa hija calidad vida podamos tener adaptándose termine adaptarse corto plazo violencia haga respecto nadie,"yo lo veo con una proceso de adaptación que que no ha terminado de ni de convencer ni de cuajar fueron muchos cambios al inicio de este gobierno muchos cambios este que fueron dándose así de sopetón que algunos tal vez sin pensar o por complacencia, yo lo veo como no termina de adaptarse, sí me saca de onda mucho la violencia, no no, porque haya esté lejos o porque estemos lejos de los puntos o los focos rojos no significa que tampoco aquí no llegue, no aquí en la en la capital ocupa pues por mi hija por por la la calidad de vida, que podamos tener pero si yo lo veo, yo lo veo así como que adaptándose no sé si termine de adaptarse en este a corto plazo, pero sí lo veo muy muy al tema de la de la violencia y no veo, no veo que haga algo al respecto nadie.","General opinions about the country, Security problems",-0.998485625
12:24:06 a. m.,"Los principales problemas, pues son muchísimos no, pero los principales es la inseguridad. no Pues los feminicidios que esos están a la orden del día y qué presidentes o presidentas llegan y pues no hacen nada, no? no le dan una solución a ningún problema por ejemplo el caso de los de Ayotzinapa O sea ya cuánto tiempo estuvo el presidente ahora esta presidenta, pues no van a hacer nada.",CDMX,C+,35 - 55 años,0,Participant,0a6bb8992c,principales problemas muchísimos principales inseguridad feminicidios orden día presidentes presidentas llegan hacen dan solución ningún problema ejemplo caso ayotzinapa cuánto tiempo presidente presidenta van,"los principales problemas, pues son muchísimos no, pero los principales es la inseguridad. no pues los feminicidios que esos están a la orden del día y qué presidentes o presidentas llegan y pues no hacen nada, no? no le dan una solución a ningún problema por ejemplo el caso de los de ayotzinapa o sea ya cuánto tiempo estuvo el presidente ahora esta presidenta, pues no van a hacer nada.","General opinions about the country, Security problems, Sheinbaum",-0.999355853
12:24:39 a. m.,"Y bueno infinidad de personas desaparecidas. Este la violencia que estamos viviendo en Sinaloa que es muy triste, estaba viendo apenas la semana pasada porque sí me gusta mucho ver las noticias que a veces me dicen no las veas tanto, porque pues sí duele, no. Y México duele, no sé si alguien de mis compañeros que están aquí vieron cuando este en Sinaloa este secuestran a una familia y el niño le pide al secuestrador que no no secuestra a su mamá y se llevan al papá, no? Yo tengo un niño y o sea, cuando vi eso, Pues sí me dolió porque dije Qué estamos viviendo No ya el partido que sea.",CDMX,C+,35 - 55 años,0,Participant,0a6bb8992c,infinidad personas desaparecidas violencia viviendo sinaloa triste viendo apenas semana pasada noticias veces dicen veas duele méxico duele alguien compañeros vieron sinaloa secuestran familia niño pide secuestrador secuestra mamá llevan papá niño vi dolió dije viviendo,"y bueno infinidad de personas desaparecidas. este la violencia que estamos viviendo en sinaloa que es muy triste, estaba viendo apenas la semana pasada porque sí me gusta mucho ver las noticias que a veces me dicen no las veas tanto, porque pues sí duele, no. y méxico duele, no sé si alguien de mis compañeros que están aquí vieron cuando este en sinaloa este secuestran a una familia y el niño le pide al secuestrador que no no secuestra a su mamá y se llevan al papá, no? yo tengo un niño y o sea, cuando vi eso, pues sí me dolió porque dije qué estamos viviendo no ya el partido que sea.","General opinions about the country, Security problems",-0.999116004
12:25:20 a. m.,O sea una solución.,CDMX,C+,35 - 55 años,0,Participant,0a6bb8992c,solución,o sea una solución.,"General opinions about the country, Security problems",0
12:25:29 a. m.,"Pues mira actualmente Hola a todos, buenas noches.",CDMX,C+,35 - 55 años,0,Participant,67d564110c,mira actualmente hola buenas noches,"pues mira actualmente hola a todos, buenas noches.","General opinions about the country, Security problems",0.990618527
12:25:33 a. m.,Buenas noches.,CDMX,C+,35 - 55 años,0,Participant,0a6bb8992c,buenas noches,buenas noches.,"General opinions about the country, Security problems",0.993044913
12:25:34 a. m.,"actualmente veo un México muy preocupado por lo que viene con Estados Unidos Porque ya Donald Trump está hablando de deportación, era lo que estaba",CDMX,C+,35 - 55 años,0,Participant,67d564110c,actualmente méxico preocupado viene unidos donald trump hablando deportación,"actualmente veo un méxico muy preocupado por lo que viene con estados unidos porque ya donald trump está hablando de deportación, era lo que estaba","General opinions about the country, Security problems",-0.999431074
12:25:46 a. m.,también,CDMX,C+,35 - 55 años,0,Participant,0a6bb8992c,,también,"General opinions about the country, Security problems",0
12:25:47 a. m.,"escuchando Ahorita en CNN hace rato y este es un México que Que no sabe qué es lo que viene porque hasta cierto punto con kamala, tenían de alguna de otra forma la misma línea que traían con baile. Pero Donald Trump es distinto Donald Trump ya amenazó con el con la situación del fentanilo de que si en México no se le pone un hasta aquí al fentanilo. Ellos vienen y nos ponen un hasta",CDMX,C+,35 - 55 años,0,Participant,67d564110c,escuchando cnn rato méxico sabe viene cierto punto kamala alguna forma misma línea traían baile donald trump distinto donald trump amenazó situación fentanilo méxico pone fentanilo vienen ponen,"escuchando ahorita en cnn hace rato y este es un méxico que que no sabe qué es lo que viene porque hasta cierto punto con kamala, tenían de alguna de otra forma la misma línea que traían con baile. pero donald trump es distinto donald trump ya amenazó con el con la situación del fentanilo de que si en méxico no se le pone un hasta aquí al fentanilo. ellos vienen y nos ponen un hasta","General opinions about the country, Security problems",-0.998959303
12:26:22 a. m.,"aquí con el fentanilo entonces y desgraciadamente, pues es una situación que Pues uno como mexicano no desearía, pero si ves que aquí los tuyos no hacen nada. Pues qué haces? O sea, en realidad Qué haces, o sea, a mí a mí me preocupa, que por ejemplo uno antes podía ir a pueblear ahorita. Ya no puedes ir a pueblear. te puedes ir a Guanajuato y no sabes Si regresas vivo a Guanajuato En Puebla también hay problemas en Veracruz bueno, no se diga de Acapulco que pues está la hija de de Salgado que pues pues puede estar muy guapa la hija, pero de eso no pasa, o sea.",CDMX,C+,35 - 55 años,0,Participant,67d564110c,fentanilo desgraciadamente situación mexicano desearía ves hacen haces realidad haces preocupa ejemplo podía ir pueblear puedes ir pueblear puedes ir guanajuato sabes regresas vivo guanajuato puebla problemas veracruz diga acapulco hija salgado puede guapa hija pasa,"aquí con el fentanilo entonces y desgraciadamente, pues es una situación que pues uno como mexicano no desearía, pero si ves que aquí los tuyos no hacen nada. pues qué haces? o sea, en realidad qué haces, o sea, a mí a mí me preocupa, que por ejemplo uno antes podía ir a pueblear ahorita. ya no puedes ir a pueblear. te puedes ir a guanajuato y no sabes si regresas vivo a guanajuato en puebla también hay problemas en veracruz bueno, no se diga de acapulco que pues está la hija de de salgado que pues pues puede estar muy guapa la hija, pero de eso no pasa, o sea.","General opinions about the country, Security problems",-0.998134434
12:27:21 a. m.,Eso a nivel internacional.,CDMX,C+,35 - 55 años,0,Participant,67d564110c,nivel internacional,eso a nivel internacional.,General opinions about the country,0
12:27:23 a. m.,Ajá,CDMX,C+,35 - 55 años,0,Participant,67d564110c,ajá,ajá,General opinions about the country,0
12:27:29 a. m.,Y los secuestros a cada ratito en Monterrey hay secuestro.,CDMX,C+,35 - 55 años,0,Participant,67d564110c,secuestros cada ratito monterrey secuestro,y los secuestros a cada ratito en monterrey hay secuestro.,Security problems,-0.781073987
12:27:34 a. m.,En Guadalajara recientemente también en Tlaquepaque también este la juventud también en todo mundo dice no es que en Estados Unidos El fentanilo estaba lloviendo l más en un reportaje en donde lo la juventud ahorita consume anfetaminas con fentanilo. Entonces ya por lo menos si la anfetamina te la estás tomando de alguna de otra forma. Química sin fentanilo Bueno ya no está tan mal el problema es que cuando la mezclan con fentanilo,CDMX,C+,35 - 55 años,0,Participant,67d564110c,guadalajara recientemente tlaquepaque juventud mundo unidos fentanilo lloviendo l reportaje juventud consume anfetaminas fentanilo menos anfetamina tomando alguna forma química fentanilo tan mal problema mezclan fentanilo,en guadalajara recientemente también en tlaquepaque también este la juventud también en todo mundo dice no es que en estados unidos el fentanilo estaba lloviendo l más en un reportaje en donde lo la juventud ahorita consume anfetaminas con fentanilo. entonces ya por lo menos si la anfetamina te la estás tomando de alguna de otra forma. química sin fentanilo bueno ya no está tan mal el problema es que cuando la mezclan con fentanilo,Security problems,0
12:28:10 a. m.,Olvídate,CDMX,C+,35 - 55 años,0,Participant,67d564110c,olvídate,olvídate,Security problems,0
12:28:14 a. m.,"Gracias, buenas noches. Este Bueno yo veo un México demasiado inseguro mucha inseguridad siento que ya no hay partido que lo esté gobernando más bien. Lo están gobernando los este los narcotraficantes siento que es es un cobro de piso ya hoy en día muchos amigos ya que se dedican a hacer este negocios dicen es que no es que ya mejor voy a cerrar mi negocio y lo que voy a hacer. Es este vivir de de las dádivas que da el el gobierno, Porque mejor no hago nada porque si hago mi esfuerzo me parto ahora sí que el queso así tratando de hacer negocio y finalmente todo lo que estoy ganando me lo quitan la corrupción que son los que vienen y cobran Y si no es la corrupción son los que vienen y me cobran piso. Entonces me quedo con la inseguridad. Me quedo este mejor no hago nada, me quedo en mi casita echando la hueva y nada más estiro la mano para que me den mis dádivas Entonces está para mí es lo más preocupante es la inseguridad porque como bien lo decía Jorge no puedes ni siquiera salir a carretera. Ya no es un México como antes de que decías Vámonos todos de vacaciones, vamos a hacer No ya no puedes ni siquiera salir a la calle porque estás con la preocupación de que algo te puede suceder Entonces sí está para mí Está súper cañón, porque eso es lo que vemos en las noticias. Pero de repente lo ves con tus vecinos lo escuchas? con tus familiares y sí es este dices Bueno no nada más no escucho",CDMX,C+,35 - 55 años,0,Participant,a4b4b44906,gracias buenas noches méxico demasiado inseguro inseguridad gobernando gobernando narcotraficantes cobro piso hoy día amigos dedican negocios dicen mejor cerrar negocio vivir dádivas da gobierno mejor hago hago esfuerzo parto queso tratando negocio finalmente ganando quitan corrupción vienen cobran corrupción vienen cobran piso quedo inseguridad quedo mejor hago quedo casita echando hueva estiro mano den dádivas preocupante inseguridad decía jorge puedes siquiera salir carretera méxico decías vámonos vacaciones vamos puedes siquiera salir calle preocupación puede suceder súper cañón vemos noticias repente ves vecinos escuchas familiares dices escucho,"gracias, buenas noches. este bueno yo veo un méxico demasiado inseguro mucha inseguridad siento que ya no hay partido que lo esté gobernando más bien. lo están gobernando los este los narcotraficantes siento que es es un cobro de piso ya hoy en día muchos amigos ya que se dedican a hacer este negocios dicen es que no es que ya mejor voy a cerrar mi negocio y lo que voy a hacer. es este vivir de de las dádivas que da el el gobierno, porque mejor no hago nada porque si hago mi esfuerzo me parto ahora sí que el queso así tratando de hacer negocio y finalmente todo lo que estoy ganando me lo quitan la corrupción que son los que vienen y cobran y si no es la corrupción son los que vienen y me cobran piso. entonces me quedo con la inseguridad. me quedo este mejor no hago nada, me quedo en mi casita echando la hueva y nada más estiro la mano para que me den mis dádivas entonces está para mí es lo más preocupante es la inseguridad porque como bien lo decía jorge no puedes ni siquiera salir a carretera. ya no es un méxico como antes de que decías vámonos todos de vacaciones, vamos a hacer no ya no puedes ni siquiera salir a la calle porque estás con la preocupación de que algo te puede suceder entonces sí está para mí está súper cañón, porque eso es lo que vemos en las noticias. pero de repente lo ves con tus vecinos lo escuchas? con tus familiares y sí es este dices bueno no nada más no escucho","Corruption problems, General opinions about the country, Security problems",-0.999197304
